character,word,count
Amy,kif,32
Amy,like,24
Amy,bender,23
Amy,leela,22
Amy,just,19
Amy,hey,17
Amy,fry,16
Amy,look,16
Amy,yeah,15
Amy,parents,11
Amy,cgood,1
Amy,morning,1
Amy,bisque,1
Amy,buffet,1
Amy,clooks,1
Amy,convincing,1
Amy,deck,1
Amy,fiesta,1
Amy,fill,1
Amy,lean,1
Bender,hey,116
Bender,just,110
Bender,like,100
Bender,bender,94
Bender,get,92
Bender,yeah,90
Bender,one,90
Bender,now,89
Bender,got,75
Bender,well,74
Bender,chateau,1
Bender,chevitz,1
Bender,counter,1
Bender,csounds,1
Bender,delight,1
Bender,dibs,1
Bender,jug,1
Bender,list,1
Bender,looting,1
Bender,mix,1
Calculon,oscar,8
Calculon,coilette,8
Calculon,acting,6
Calculon,one,6
Calculon,get,6
Calculon,harold,6
Calculon,zoid,6
Calculon,let,5
Calculon,much,5
Calculon,good,5
Calculon,believe,1
Calculon,halfbrother,1
Calculon,murdering,1
Calculon,sugarcoat,1
Calculon,16a,1
Calculon,add,1
Calculon,carryover,1
Calculon,choice,1
Calculon,deduct,1
Calculon,enterprises,1
Clamps,clamp,7
Clamps,clamps,6
Clamps,clamped,3
Clamps,donbot,2
Clamps,every,2
Clamps,got,2
Clamps,guy,2
Clamps,ones,2
Clamps,think,2
Clamps,use,2
Clamps,badaclamp,1
Clamps,badaclimp,1
Clamps,cause,1
Clamps,cement,1
Clamps,day,1
Clamps,fancy,1
Clamps,finally,1
Clamps,freaking,1
Clamps,gee,1
Clamps,genius,1
Coilette,just,8
Coilette,calculon,7
Coilette,back,5
Coilette,look,5
Coilette,love,5
Coilette,come,4
Coilette,need,4
Coilette,now,4
Coilette,ooh,4
Coilette,tell,4
Coilette,always,1
Coilette,anyway,1
Coilette,arm,1
Coilette,arms,1
Coilette,awake,1
Coilette,bah,1
Coilette,belong,1
Coilette,bet,1
Coilette,better,1
Coilette,boom,1
Cubert,dad,8
Cubert,impossible,8
Cubert,like,8
Cubert,just,6
Cubert,awesome,5
Cubert,yeah,5
Cubert,idiot,4
Cubert,hey,4
Cubert,well,4
Cubert,can,3
Cubert,aide,1
Cubert,air,1
Cubert,almost,1
Cubert,anything,1
Cubert,anyway,1
Cubert,bending,1
Cubert,bolognium,1
Cubert,came,1
Cubert,cartoon,1
Cubert,charge,1
Donbot,clamps,7
Donbot,hey,7
Donbot,alright,3
Donbot,blotto,3
Donbot,cigars,3
Donbot,got,3
Donbot,huh,3
Donbot,job,3
Donbot,joey,3
Donbot,just,3
Donbot,aboard,1
Donbot,accent,1
Donbot,alibi,1
Donbot,attitude,1
Donbot,ball,1
Donbot,battle,1
Donbot,bearings,1
Donbot,big,1
Donbot,blindfold,1
Donbot,bucks,1
Elzar,bam,12
Elzar,folks,4
Elzar,gonna,4
Elzar,hey,4
Elzar,make,4
Elzar,cause,3
Elzar,cook,3
Elzar,good,3
Elzar,dinner,3
Elzar,gumbo,3
Elzar,asskissing,1
Elzar,chicken,1
Elzar,forgot,1
Elzar,machine,1
Elzar,still,1
Elzar,turns,1
Elzar,aint,1
Elzar,another,1
Elzar,answering,1
Elzar,anymore,1
Farnsworth,yes,63
Farnsworth,now,56
Farnsworth,just,51
Farnsworth,well,48
Farnsworth,one,46
Farnsworth,good,43
Farnsworth,time,43
Farnsworth,everyone,38
Farnsworth,like,38
Farnsworth,fry,37
Farnsworth,149,1
Farnsworth,2620,1
Farnsworth,academys,1
Farnsworth,activate,1
Farnsworth,alas,1
Farnsworth,america,1
Farnsworth,annual,1
Farnsworth,astronomers,1
Farnsworth,barely,1
Farnsworth,billions,1
Flexo,nah,7
Flexo,yeah,5
Flexo,good,4
Flexo,just,3
Flexo,kidding,3
Flexo,little,3
Flexo,lower,3
Flexo,well,3
Flexo,love,3
Flexo,alright,2
Flexo,3370318,1
Flexo,actually,1
Flexo,aint,1
Flexo,asleep,1
Flexo,ass,1
Flexo,atom,1
Flexo,atoms,1
Flexo,back,1
Flexo,bad,1
Flexo,barker,1
Fry,like,145
Fry,just,135
Fry,leela,128
Fry,bender,127
Fry,hey,117
Fry,can,91
Fry,know,90
Fry,yeah,87
Fry,get,84
Fry,well,83
Fry,achievements,1
Fry,bart,1
Fry,build,1
Fry,calmly,1
Fry,chuck,1
Fry,clock,1
Fry,competition,1
Fry,copied,1
Fry,cotton,1
Fry,counting,1
Hermes,now,19
Hermes,just,16
Hermes,like,15
Hermes,bender,13
Hermes,know,13
Hermes,one,13
Hermes,zoidberg,13
Hermes,way,13
Hermes,mon,12
Hermes,got,12
Hermes,bills,1
Hermes,climbing,1
